url_length,domain_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_at_signs,num_slashes,num_equals,num_ampersands,num_percent,num_question,digit_ratio,letter_ratio,url_entropy,domain_entropy,num_subdomains,has_https,has_ip,has_port,has_at_sign,has_double_slash,domain_has_digit,too_many_subdomains,suspicious_tld,n_suspicious_keywords,has_suspicious_keyword,has_brand_in_domain,brand_impersonation,domain_age_days
30,15,2,0,3,0,0,0,3,0,0,0,0,0.5667,0.1667,3.3811,2.3899,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
37,16,9,0,1,0,0,0,3,0,0,0,0,0.0,0.8649,4.0335,3.3278,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
34,6,16,0,1,0,0,0,4,0,0,0,0,0.0,0.8235,3.8222,1.9183,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
52,15,14,10,1,0,2,0,4,1,0,0,1,0.1731,0.6346,4.7817,3.5069,0,1,0,0,0,0,1,0,0,0,0,0,0,-1
98,38,47,0,2,8,0,0,4,0,0,0,0,0.1939,0.6531,4.761,3.8,0,1,0,0,0,0,0,0,0,1,1,0,0,-1
42,13,22,0,4,0,0,0,5,0,0,0,0,0.2619,0.5,4.2048,2.8151,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
34,14,7,0,4,0,0,0,3,0,0,0,0,0.4706,0.2647,3.9842,2.9852,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
27,7,8,0,1,0,0,0,3,0,0,0,0,0.0,0.8148,4.0603,2.5216,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
47,11,7,16,1,0,0,0,3,1,0,0,1,0.0,0.8085,4.1495,2.914,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
33,13,7,0,4,0,0,0,3,0,0,0,0,0.4545,0.2727,4.0061,2.4493,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
87,15,48,0,3,4,0,0,4,0,0,0,0,0.2644,0.5977,4.6952,3.3232,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
26,5,0,6,2,0,0,0,2,1,0,0,1,0.0385,0.6923,4.1329,1.9219,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
27,7,8,0,1,0,0,0,3,0,0,0,0,0.0,0.8148,3.9862,2.8074,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
25,3,11,0,1,0,0,0,4,0,0,0,0,0.0,0.76,3.7639,1.585,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
28,9,5,0,1,0,0,0,3,0,0,0,0,0.0,0.8214,3.7979,2.7255,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
32,12,7,0,4,0,0,0,3,0,0,0,0,0.4375,0.2812,4.0778,2.6258,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
29,14,2,0,3,0,0,0,3,0,0,0,0,0.5517,0.1724,3.7714,2.5567,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
50,14,7,16,1,0,0,0,3,1,0,0,1,0.0,0.84,4.184,3.3788,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
32,3,7,10,1,0,0,0,3,1,0,0,1,0.0,0.7812,4.0542,1.585,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
41,7,22,0,1,1,0,0,5,0,0,0,0,0.1463,0.6585,4.2571,2.5216,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
22,4,7,0,1,0,0,0,3,0,0,0,0,0.0,0.7727,3.5949,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
80,6,3,52,2,0,1,0,3,2,1,0,1,0.075,0.7875,5.2809,1.9183,1,1,0,0,0,0,0,0,0,1,1,1,0,-1
27,12,2,0,3,0,0,0,3,0,0,0,0,0.5185,0.1852,3.708,2.2296,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
82,20,47,0,2,5,0,0,4,0,0,0,0,0.2805,0.5732,4.6864,3.6842,0,1,0,0,0,0,0,0,0,1,1,0,0,-1
28,7,9,0,1,0,0,0,4,0,0,0,0,0.0,0.7857,3.8518,2.8074,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
28,14,7,0,4,0,0,0,3,0,0,0,0,0.3929,0.3214,3.8693,2.7885,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
27,10,5,0,1,0,0,0,3,0,0,0,0,0.0,0.8148,4.1064,3.1219,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
27,12,2,0,3,0,0,0,3,0,0,0,0,0.5185,0.1852,3.8101,2.6258,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
80,6,3,52,2,0,0,0,3,2,1,0,1,0.0875,0.7875,5.1608,1.9183,1,1,0,0,0,0,0,0,0,1,1,1,0,-1
23,6,6,0,1,0,0,0,3,0,0,0,0,0.0,0.7826,3.7951,2.585,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
43,13,23,0,4,0,0,0,4,0,0,0,0,0.2558,0.5349,4.1994,2.6612,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
23,6,5,0,1,0,0,0,3,0,0,0,0,0.0,0.7826,3.5014,2.2516,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
